Word,Description,Description OK,Description (updated),Description(Final),Example(Final),Alternate spellings,Remarks (if applicable),POS,Pronun,Origin,License,Reference,
Hainanese chicken rice,"Sure, here's a dictionary entry for 'Hainanese chicken rice' in Singlish:\n\nHainanese chicken rice (noun) - a popular Singaporean dish consisting of poached chicken served with fragrant rice cooked in chicken broth and a range of dipping sauces. The dish is commonly served with cucumber slices and a soup broth on the side. \n\nPronunciation: Hi-nah-niiz chi-kin rai-s\n\nAlternate spellings: None\n\nExample usage: ""Let's go eat some Hainanese chicken rice for lunch, I heard the stall near our office makes the best one.""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
Hainanese pork chop,"Sure, here's a dictionary entry for 'Hainanese pork chop':\n\nDefinition: A dish commonly found in Singaporean cafes and coffee shops, consisting of a breaded and fried pork chop served with various accompaniments, such as steamed vegetables, fries, or rice. The dish is believed to have originated from Hainanese cuisine.\n\nPronunciation: hay-nuh-neez pohrk chawp\n\nAlternate spellings: Hainanese pork chop can also be spelled as Hainan pork chop or Hai-nam pork chop.\n\nExample of use: ""I always order the Hainanese pork chop whenever I go to the kopitiam.""\n\nNote: The Hainanese pork chop can be considered a popular comfort food in Singapore and Malaysia, and is often served with a side of brown gravy or tomato sauce.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
Hainanese steamboat,"Hainanese steamboat (noun): A communal hotpot dish popular in Singapore and Malaysia where a big pot of simmering broth is placed in the middle of the table and diners cook their own raw ingredients such as meat, vegetables, seafood, and noodles. This dish is typically served with various dipping sauces like chili, soy sauce, or sesame oil for added flavor. The broth is usually made with chicken bones, pork bones, and aromatics like ginger, garlic, and Chinese herbs.\n\nPronunciation: hai-na-ni-z steem-boht\n\nAlternate spellings: Hainanese hotpot, Hainanese steamboat hotpot.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
Haji,"Title: Haji\n\nPronunciation: hah-jee\nAlternate spelling: Hadji (English transliteration)\n\nDefinition:\nHaji is a term commonly used in Singlish to refer to someone who has completed the Hajj pilgrimage, one of the Five Pillars of Islam. It is predominantly used to address or describe Malay Muslims who have undertaken this religious journey to the holy city of Mecca. In Singapore, the word 'Haji' is often used as a title of respect for an elderly male Muslim who has made the pilgrimage.\n\nExample sentences:\n1. ""Uncle Haji just returned from his trip to Mecca. Let's go visit him and hear about his experience!""\n2. ""Haji Yusof is a well-respected member of the community due to his wisdom and spiritual journey.""\n3. ""My father, Haji Ahmad, has been planning his Hajj for years and finally fulfilled his lifelong dream.""\n\nNote:\nThe term 'Haji' signifies the religious significance and respect associated with the Hajj pilgrimage. It is essential to use this term in a respectful and appropriate manner when addressing or referring to individuals who have completed this journey.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
Hakka yong tau fu,"Sure thing! Here is a possible dictionary entry:\n\n**Hakka yong tau fu** (noun): A Chinese dish consisting of tofu and various fillings prepared Hakka-style, such as fish paste, pork, or vegetables. The tofu is typically stuffed with the fillings, then sliced and served in a broth or with a sauce.\n\nAlternate spellings: Hakka yong tau hu, Hakka yong tau foo, Hakka yong tofu.\n\nPronunciation: hah-kah yong tah-oo foo (note that the ""u"" in ""tau"" is often pronounced like ""ah"", and the ""f"" in ""foo"" may sound like ""h"" or ""p"" depending on the speaker's accent).\n\nExample: Let's go to the hawker center and have some Hakka yong tau fu for lunch.\n\nNote: This dish is commonly found in Malaysia, Singapore, and other parts of Southeast Asia, where there are significant Hakka Chinese communities. It is often enjoyed as a comfort food or a light meal, and can be customized with different sauces or toppings.",No,,A variety of Yong tau fu where the vegetables or tofu are stuffed with minced pork instead of fish.,,,,N,,,,http://www.mysmu.edu/faculty/jacklee/,
halal,"Halal (pronounced huh-LAHL) is an Arabic word that is commonly used by Muslims to describe anything that is permissible or lawful according to Islamic law. In Singapore, halal is used to refer to food, drinks, and other products that are prepared and processed in accordance with the Islamic dietary laws. \n\nAlternate spellings of the word 'halal' include halaal, halāl or hallal.\n\nExample sentence: ""I only eat halal food.""\n\nNote: In Singlish, some may use the word 'halal' to describe something that is appropriate or acceptable to do. For example, ""That's not halal lah"", meaning that's not appropriate or acceptable.",Yes,,"an Arabic word that is commonly used by Muslims to describe anything that is permissible or lawful according to Islamic law. In Singapore, halal is used to refer to food, drinks, and other products that are prepared and processed in accordance with the Islamic dietary laws.",That store just got its halal certificate. Let's order from them!,,,Adj,hAlAl,Arabic,,http://www.mysmu.edu/faculty/jacklee/,
half past six,"Sure, here's the dictionary entry for 'half past six' in Singlish:\n\nWord: Half past six\nPronunciation: haf pahst sik(s)\nAlternate Spellings: -\n\nDefinition:\n'Half past six' is a common way of telling time in Singapore. It means 6:30, where 'half past' refers to the half hour mark on a clock. This expression is often used in casual conversations and is understood by most Singaporeans. It can be used interchangeably with 'six thirty'.\n\nExample:\n- ""Let's meet at the hawker centre at half past six for dinner.""\n- ""I woke up at half past six this morning to go for a run.""\n\nNote:\nSinglish often incorporates elements of English, Malay, Chinese and other languages, resulting in a unique way of speaking that may not be easily understood outside of Singapore. Therefore, it is important to use standard English in formal situations.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
half-boiled,"half-boiled (haf-boild)\nAlternate spellings: half-boil, haf-boil\nDefinition: \n\n1. (noun) A term used in Singapore to describe eggs that are cooked until the whites are semi-cooked but the yolks remain runny. They are typically served in a small bowl or cup and eaten for breakfast or as a side dish with toast.\n\n2. (adjective) Used colloquially to describe someone who is not fully awake or alert, usually in the morning or after a long night.\n\nExample:\n\n1. Would you like your eggs fully boiled or half-boiled?\n\n2. Sorry if I seem a bit half-boiled today, I didn't sleep well last night.\n\nUsage note: The term ""half-boiled"" is commonly used in Singapore and Malaysia to describe the cooking style of eggs, reflecting the local preference for runny yolks. It is important to note that the pronunciation of ""half-boiled"" in Singlish may differ slightly from standard English, with an emphasis on the ""boiled"" syllable (haf-boild).",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
half-past-six,"half-past-six (noun)\nPronunciation: hahf-pahst-siks\n\nDefinition:\n1. Refers to a state of confusion, disorganization, or lack of competence. Used colloquially in Singlish to describe a person, event, or situation that is poorly planned or executed.\n\nExample:\nJohn: ""Did you see how the new employee messed up the presentation?""\nSarah: ""Yeah, he was completely half-past-six!""\n\nAlternate spellings:\n- Half past six\n\nNote: In Singlish, ""half-past-six"" is commonly used metaphorically to describe incompetence rather than its literal meaning of 6:30.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
ham shap,"Sure, here's the dictionary entry for ""ham shap"":\n\nWord: Ham shap\n\nPronunciation: ham-shap\n\nDefinition: \n\nHam shap is a Singlish phrase that means ""half-past six"" or someone who is incompetent or mediocre at something. The term is usually used to describe someone who doesn't quite measure up to expectations, or someone who is lacking in skill or ability. It can also refer to someone who is unreliable or untrustworthy.\n\nExample: \n\n1. ""I wouldn't trust him to fix my computer, he's a bit ham shap when it comes to tech stuff.""\n\n2. ""Don't bother with that contractor company, they're all ham shap, you're better off doing it yourself.""\n\nAlternate spellings: None\n\nNote: \n\nThe phrase 'ham shap' originates from the Cantonese language, and is commonly used in Singapore and Malaysia. It is also a common phrase used in Chinese dialects like Hokkien and Teochew.",No,,Perverted,You see pretty saleswoman then you want to listen. Don't so hum sup lah,hum sup,,Adj,hA:m sVp,Cantonese,,http://www.mysmu.edu/faculty/jacklee/,
Hami melon,"Unfortunately, ""Hami melon"" is not a Singlish word, and it doesn't have an alternate spelling or pronunciation in Singlish. Singlish is a creole language that incorporates English, Malay, Mandarin, Tamil, and other languages and dialects in Singapore. It's used colloquially by Singaporeans and has its own unique vocabulary, grammar, and syntax. However, if you have any other Singlish words you'd like me to define, I'd be happy to help!",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
hammer,"Sure, here's the dictionary entry for 'hammer' in Singlish:\n\nWord: Hammer\n\nPronunciation: Ham-ah\n\nMeaning: \n\n1. To forcefully do something repeatedly, to persevere with determination. \n\n2. To strongly criticize or rebuke someone or something.\n\nExample:\n1. ""I have to hammer this math problem until I get it right."" \n2. ""The boss hammered the employee for not meeting their sales target.""\n\nAlternate spellings: None \n\nNote: 'Hammer' is a commonly used verb in Singlish, often used to imply the idea of forcefully working towards a goal or mastering a skill. It can also be used to mean a loud noise or a tool used for hitting or pounding something.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
handphone,"Sure, here's a dictionary entry for 'handphone' in Singlish:\n\nHandphone /hænd foun/\n\nDefinition: A mobile phone or cellular device used for wireless communication.\n\nExample: ""Can you pass me your handphone number?""\n\nAlternate spellings: ""hp"" (abbreviation)\n\nNote: 'Handphone' is a commonly used term in Singapore and Malaysia, and is an adaptation of the British English term 'mobile phone'.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
